epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,359.305,0.65482,0.64796,0.87981,0.9877,0.99898,0.995,0.85122,0.61729,0.51582,0.86229,0.000726312,0.000726312,0.000726312
59,367.007,0.65448,0.69966,0.89127,0.99149,0.99905,0.995,0.86805,0.56014,0.51791,0.85283,0.000709809,0.000709809,0.000709809
60,374.878,0.68544,0.7511,0.91997,0.9932,0.99867,0.995,0.87689,0.548,0.49974,0.8517,0.000693305,0.000693305,0.000693305
61,379.709,0.63862,0.66602,0.9075,0.9932,0.99867,0.995,0.87689,0.548,0.49974,0.8517,0.000676802,0.000676802,0.000676802
62,387.796,0.66463,0.71717,0.93197,0.99599,0.99887,0.995,0.87295,0.54277,0.46748,0.84852,0.000660299,0.000660299,0.000660299
63,393.962,0.695,0.65608,0.90659,0.99599,0.99887,0.995,0.87295,0.54277,0.46748,0.84852,0.000643795,0.000643795,0.000643795
64,400.614,0.68851,0.67407,0.91095,0.9971,0.99891,0.995,0.85129,0.55057,0.46119,0.8491,0.000627292,0.000627292,0.000627292
65,407.214,0.66464,0.64181,0.92158,0.99642,0.99899,0.995,0.85553,0.54948,0.45662,0.84901,0.000610789,0.000610789,0.000610789
66,412.166,0.6428,0.75478,0.93203,0.99642,0.99899,0.995,0.85553,0.54948,0.45662,0.84901,0.000594286,0.000594286,0.000594286
67,418.657,0.65976,0.70073,0.95138,0.99203,0.99867,0.995,0.84898,0.56398,0.45734,0.85083,0.000577782,0.000577782,0.000577782
68,424.337,0.62547,0.59739,0.88474,0.99203,0.99867,0.995,0.84898,0.56398,0.45734,0.85083,0.000561279,0.000561279,0.000561279
69,431.895,0.66294,0.73053,0.92061,0.9885,0.99853,0.995,0.85603,0.5618,0.47712,0.84881,0.000544776,0.000544776,0.000544776
70,439.386,0.7044,0.6954,0.94119,0.98543,0.99834,0.995,0.84401,0.5971,0.49281,0.85497,0.000528272,0.000528272,0.000528272
71,444.742,0.6339,0.66507,0.90635,0.98543,0.99834,0.995,0.84401,0.5971,0.49281,0.85497,0.000511769,0.000511769,0.000511769
72,451.302,0.61433,0.64911,0.8935,0.98651,0.99856,0.995,0.85497,0.58203,0.49576,0.85304,0.000495266,0.000495266,0.000495266
73,456.297,0.56998,0.68388,0.87082,0.98651,0.99856,0.995,0.85497,0.58203,0.49576,0.85304,0.000478762,0.000478762,0.000478762
74,462.386,0.72158,0.75318,0.94729,0.98791,0.99864,0.995,0.8689,0.54295,0.47799,0.84685,0.000462259,0.000462259,0.000462259
75,469.783,0.71108,0.64487,0.93471,0.98986,0.99893,0.995,0.87048,0.53979,0.4563,0.84656,0.000445756,0.000445756,0.000445756
76,475.287,0.56983,0.58315,0.86836,0.98986,0.99893,0.995,0.87048,0.53979,0.4563,0.84656,0.000429253,0.000429253,0.000429253
77,481.76,0.55229,0.72234,0.86626,0.99161,0.99972,0.995,0.85677,0.59522,0.45069,0.85755,0.000412749,0.000412749,0.000412749
78,486.44,0.57425,0.56854,0.89176,0.99161,0.99972,0.995,0.85677,0.59522,0.45069,0.85755,0.000396246,0.000396246,0.000396246
79,492.808,0.56793,0.59166,0.8573,0.99133,1,0.995,0.83462,0.66306,0.46503,0.87117,0.000379743,0.000379743,0.000379743
80,500.154,0.66393,0.78403,0.89468,0.99125,1,0.995,0.82229,0.673,0.46942,0.877,0.000363239,0.000363239,0.000363239
81,504.798,0.70638,0.64802,0.92333,0.99125,1,0.995,0.82229,0.673,0.46942,0.877,0.000346736,0.000346736,0.000346736
82,512.487,0.65309,0.67827,0.897,0.99098,1,0.995,0.83937,0.6282,0.46745,0.86884,0.000330233,0.000330233,0.000330233
83,518.345,0.54655,0.59744,0.88191,0.99098,1,0.995,0.83937,0.6282,0.46745,0.86884,0.000313729,0.000313729,0.000313729
84,523.909,0.72771,0.7489,1.0196,0.99052,0.99967,0.995,0.8527,0.59276,0.46562,0.86114,0.000297226,0.000297226,0.000297226
85,530.292,0.56,0.61458,0.86495,0.9903,0.99946,0.995,0.86193,0.57974,0.45902,0.85873,0.000280723,0.000280723,0.000280723
86,535.839,0.66924,0.67112,0.89419,0.9903,0.99946,0.995,0.86193,0.57974,0.45902,0.85873,0.00026422,0.00026422,0.00026422
87,543.225,0.63784,0.67691,0.90489,0.99066,0.99926,0.995,0.85761,0.58064,0.45283,0.8583,0.000247716,0.000247716,0.000247716
88,549.312,0.61565,0.59987,0.87937,0.99066,0.99926,0.995,0.85761,0.58064,0.45283,0.8583,0.000231213,0.000231213,0.000231213
89,555.954,0.60941,0.64048,0.90397,0.99162,0.99962,0.995,0.85308,0.59322,0.45013,0.86016,0.00021471,0.00021471,0.00021471
90,561.09,0.65929,0.61343,0.94489,0.99162,0.99962,0.995,0.85308,0.59322,0.45013,0.86016,0.000198206,0.000198206,0.000198206
91,567.764,0.63521,0.78715,0.8909,0.99267,0.99972,0.995,0.85074,0.58541,0.44898,0.85893,0.000181703,0.000181703,0.000181703
92,573.627,0.54391,0.62877,0.91303,0.99356,0.99968,0.995,0.85192,0.57238,0.44686,0.85618,0.0001652,0.0001652,0.0001652
93,578.438,0.57021,0.60932,0.88353,0.99356,0.99968,0.995,0.85192,0.57238,0.44686,0.85618,0.000148696,0.000148696,0.000148696
94,584.415,0.6475,0.61117,0.92045,0.99455,1,0.995,0.85188,0.57014,0.44771,0.85536,0.000132193,0.000132193,0.000132193
95,589.161,0.53633,0.59039,0.87302,0.99455,1,0.995,0.85188,0.57014,0.44771,0.85536,0.00011569,0.00011569,0.00011569
96,594.738,0.58822,0.62657,0.87631,0.99443,1,0.995,0.84896,0.58011,0.4489,0.85893,9.91865e-05,9.91865e-05,9.91865e-05
97,600.449,0.5648,0.68869,0.88264,0.99534,1,0.995,0.84925,0.57933,0.44284,0.85933,8.26832e-05,8.26832e-05,8.26832e-05
98,605.199,0.60328,0.64516,0.87992,0.99534,1,0.995,0.84925,0.57933,0.44284,0.85933,6.61799e-05,6.61799e-05,6.61799e-05
99,610.857,0.5552,0.62029,0.87939,0.9958,1,0.995,0.85008,0.57256,0.43993,0.85739,4.96766e-05,4.96766e-05,4.96766e-05
100,615.471,0.56233,0.71982,0.91338,0.9958,1,0.995,0.85008,0.57256,0.43993,0.85739,3.31733e-05,3.31733e-05,3.31733e-05
