epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,401.998,2.07659,0.76963,3.5617,1.96172,0.00389,0.19444,0.00283,0.00085,0.00386,0.11111,0.0049,0.00104,3.5001,2.12714,4.46732,3.35285,0.001406,0.001406,0.001406
62,408.301,2.17135,0.66527,3.66784,1.97908,0.00389,0.19444,0.00283,0.00085,0.00386,0.11111,0.0049,0.00104,3.5001,2.12714,4.46732,3.35285,0.0013961,0.0013961,0.0013961
63,414.843,2.00116,0.64365,3.63084,1.95048,0.00389,0.19444,0.00283,0.00085,0.00386,0.11111,0.0049,0.00104,3.5001,2.12714,4.46732,3.35285,0.0013862,0.0013862,0.0013862
64,422.505,2.08091,0.78064,3.47184,1.96101,0.005,0.25,0.00505,0.00095,0.00056,0.02778,0.00047,5e-05,3.48009,1.42232,4.13016,3.3058,0.0013763,0.0013763,0.0013763
65,428.849,2.25544,0.85016,3.35969,2.1284,0.005,0.25,0.00505,0.00095,0.00056,0.02778,0.00047,5e-05,3.48009,1.42232,4.13016,3.3058,0.0013664,0.0013664,0.0013664
66,435.232,2.19531,0.85207,3.52557,2.10215,0.005,0.25,0.00505,0.00095,0.00056,0.02778,0.00047,5e-05,3.48009,1.42232,4.13016,3.3058,0.0013565,0.0013565,0.0013565
67,441.63,2.19171,0.75049,3.30551,2.12873,0.005,0.25,0.00505,0.00095,0.00056,0.02778,0.00047,5e-05,3.48009,1.42232,4.13016,3.3058,0.0013466,0.0013466,0.0013466
68,449.241,2.12371,0.68158,3.35992,2.13416,0.00532,0.19444,0.00468,0.00098,0.00228,0.08333,0.00233,0.00052,3.20839,0.96723,4.31014,3.16991,0.0013367,0.0013367,0.0013367
69,455.416,2.02624,0.69601,3.4056,2.06667,0.00532,0.19444,0.00468,0.00098,0.00228,0.08333,0.00233,0.00052,3.20839,0.96723,4.31014,3.16991,0.0013268,0.0013268,0.0013268
70,461.648,2.02433,0.62375,3.14682,1.95516,0.00532,0.19444,0.00468,0.00098,0.00228,0.08333,0.00233,0.00052,3.20839,0.96723,4.31014,3.16991,0.0013169,0.0013169,0.0013169
71,469.241,2.0348,0.59049,3.03264,1.97268,0.00722,0.36111,0.00788,0.00159,0.00389,0.19444,0.00634,0.00159,3.19722,0.92235,3.92211,3.12312,0.001307,0.001307,0.001307
72,475.476,2.21233,0.67979,3.29057,2.00872,0.00722,0.36111,0.00788,0.00159,0.00389,0.19444,0.00634,0.00159,3.19722,0.92235,3.92211,3.12312,0.0012971,0.0012971,0.0012971
73,482.042,2.12818,0.70729,3.22038,2.07792,0.00722,0.36111,0.00788,0.00159,0.00389,0.19444,0.00634,0.00159,3.19722,0.92235,3.92211,3.12312,0.0012872,0.0012872,0.0012872
74,488.523,1.86198,0.58662,2.83241,1.76378,0.00722,0.36111,0.00788,0.00159,0.00389,0.19444,0.00634,0.00159,3.19722,0.92235,3.92211,3.12312,0.0012773,0.0012773,0.0012773
75,496.094,1.96441,0.6182,2.97534,1.87758,0.00778,0.38889,0.00781,0.0018,0.005,0.25,0.0036,0.00087,3.11103,0.88977,3.92243,3.02371,0.0012674,0.0012674,0.0012674
76,503.13,2.0551,0.6414,2.95146,1.84931,0.00778,0.38889,0.00781,0.0018,0.005,0.25,0.0036,0.00087,3.11103,0.88977,3.92243,3.02371,0.0012575,0.0012575,0.0012575
77,510.047,2.02789,0.61906,3.08156,2.01847,0.00778,0.38889,0.00781,0.0018,0.005,0.25,0.0036,0.00087,3.11103,0.88977,3.92243,3.02371,0.0012476,0.0012476,0.0012476
78,519.093,1.94777,0.62694,2.98421,1.80866,0.00667,0.33333,0.00507,0.00155,0.00389,0.19444,0.01125,0.00152,3.08688,0.7657,3.80355,2.94764,0.0012377,0.0012377,0.0012377
79,526.193,1.96839,0.62968,3.06509,1.98429,0.00667,0.33333,0.00507,0.00155,0.00389,0.19444,0.01125,0.00152,3.08688,0.7657,3.80355,2.94764,0.0012278,0.0012278,0.0012278
80,533.826,1.97403,0.60066,2.87103,1.84959,0.00667,0.33333,0.00507,0.00155,0.00389,0.19444,0.01125,0.00152,3.08688,0.7657,3.80355,2.94764,0.0012179,0.0012179,0.0012179
81,540.8,1.88451,0.52477,2.68967,1.80948,0.00667,0.33333,0.00507,0.00155,0.00389,0.19444,0.01125,0.00152,3.08688,0.7657,3.80355,2.94764,0.001208,0.001208,0.001208
82,549.118,1.72154,0.4969,2.80431,1.65779,0.00778,0.38889,0.00959,0.00312,0.00444,0.22222,0.00778,0.0017,3.00002,0.86807,3.60251,2.90356,0.0011981,0.0011981,0.0011981
83,556.281,2.02098,0.57814,2.76103,1.8865,0.00778,0.38889,0.00959,0.00312,0.00444,0.22222,0.00778,0.0017,3.00002,0.86807,3.60251,2.90356,0.0011882,0.0011882,0.0011882
84,563.17,1.8247,0.50537,2.64797,1.69128,0.00778,0.38889,0.00959,0.00312,0.00444,0.22222,0.00778,0.0017,3.00002,0.86807,3.60251,2.90356,0.0011783,0.0011783,0.0011783
85,570.418,1.87833,0.59215,2.81083,1.90451,0.00778,0.38889,0.00959,0.00312,0.00444,0.22222,0.00778,0.0017,3.00002,0.86807,3.60251,2.90356,0.0011684,0.0011684,0.0011684
86,579.634,1.96967,0.56137,2.73912,1.85441,0.01,0.5,0.01875,0.00521,0.00611,0.30556,0.00831,0.00171,2.96776,0.83639,3.59924,2.78663,0.0011585,0.0011585,0.0011585
87,587.059,1.77775,0.45113,2.42647,1.67665,0.01,0.5,0.01875,0.00521,0.00611,0.30556,0.00831,0.00171,2.96776,0.83639,3.59924,2.78663,0.0011486,0.0011486,0.0011486
88,594.235,2.09569,0.58584,2.95401,2.0241,0.01,0.5,0.01875,0.00521,0.00611,0.30556,0.00831,0.00171,2.96776,0.83639,3.59924,2.78663,0.0011387,0.0011387,0.0011387
89,603.855,1.81169,0.49812,2.45062,1.83349,0.00907,0.08333,0.00978,0.0022,0.00333,0.16667,0.00223,0.00037,3.02518,0.84727,3.77208,2.89356,0.0011288,0.0011288,0.0011288
90,611.069,2.11873,0.57284,2.83689,2.10413,0.00907,0.08333,0.00978,0.0022,0.00333,0.16667,0.00223,0.00037,3.02518,0.84727,3.77208,2.89356,0.0011189,0.0011189,0.0011189
91,618.426,2.12082,0.60318,2.82185,2.01008,0.00907,0.08333,0.00978,0.0022,0.00333,0.16667,0.00223,0.00037,3.02518,0.84727,3.77208,2.89356,0.001109,0.001109,0.001109
92,625.711,1.83816,0.47473,2.54915,1.90389,0.00907,0.08333,0.00978,0.0022,0.00333,0.16667,0.00223,0.00037,3.02518,0.84727,3.77208,2.89356,0.0010991,0.0010991,0.0010991
93,634.232,1.85392,0.46761,2.41256,1.78882,0.00996,0.38889,0.01222,0.0033,0.00389,0.19444,0.00343,0.00063,3.0359,0.77194,3.50997,2.86565,0.0010892,0.0010892,0.0010892
94,641.685,1.8562,0.47481,2.56096,1.86816,0.00996,0.38889,0.01222,0.0033,0.00389,0.19444,0.00343,0.00063,3.0359,0.77194,3.50997,2.86565,0.0010793,0.0010793,0.0010793
95,648.882,2.00183,0.47898,2.59908,1.90458,0.00996,0.38889,0.01222,0.0033,0.00389,0.19444,0.00343,0.00063,3.0359,0.77194,3.50997,2.86565,0.0010694,0.0010694,0.0010694
96,657.483,2.0357,0.63512,2.59556,1.83035,0.00889,0.44444,0.02773,0.00757,0.005,0.25,0.00887,0.00235,3.05551,0.73075,3.3542,2.93813,0.0010595,0.0010595,0.0010595
97,664.51,2.25929,0.5289,2.74371,2.0384,0.00889,0.44444,0.02773,0.00757,0.005,0.25,0.00887,0.00235,3.05551,0.73075,3.3542,2.93813,0.0010496,0.0010496,0.0010496
98,671.667,1.93852,0.5237,2.48515,1.80174,0.00889,0.44444,0.02773,0.00757,0.005,0.25,0.00887,0.00235,3.05551,0.73075,3.3542,2.93813,0.0010397,0.0010397,0.0010397
99,678.62,2.04914,0.61916,2.60001,1.92422,0.00889,0.44444,0.02773,0.00757,0.005,0.25,0.00887,0.00235,3.05551,0.73075,3.3542,2.93813,0.0010298,0.0010298,0.0010298
100,687.34,1.98674,0.45951,2.58052,1.94156,0.00889,0.44444,0.01475,0.00426,0.005,0.25,0.00476,0.00132,3.02899,0.74884,3.44897,2.89366,0.0010199,0.0010199,0.0010199
101,694.799,2.16022,0.54925,2.6871,1.94265,0.00889,0.44444,0.01475,0.00426,0.005,0.25,0.00476,0.00132,3.02899,0.74884,3.44897,2.89366,0.00101,0.00101,0.00101
102,702.761,1.7658,0.47397,2.34611,1.76261,0.00889,0.44444,0.01475,0.00426,0.005,0.25,0.00476,0.00132,3.02899,0.74884,3.44897,2.89366,0.0010001,0.0010001,0.0010001
103,712.23,1.77209,0.425,2.36323,1.76877,0.01431,0.11111,0.02611,0.00553,0.0049,0.22222,0.00325,0.00076,3.05078,0.74892,3.48729,2.77534,0.0009902,0.0009902,0.0009902
104,719.624,1.93838,0.43774,2.65648,1.90127,0.01431,0.11111,0.02611,0.00553,0.0049,0.22222,0.00325,0.00076,3.05078,0.74892,3.48729,2.77534,0.0009803,0.0009803,0.0009803
105,726.981,2.15188,0.56185,2.72134,1.99479,0.01431,0.11111,0.02611,0.00553,0.0049,0.22222,0.00325,0.00076,3.05078,0.74892,3.48729,2.77534,0.0009704,0.0009704,0.0009704
106,734.251,1.89366,0.41065,2.30892,1.8469,0.01431,0.11111,0.02611,0.00553,0.0049,0.22222,0.00325,0.00076,3.05078,0.74892,3.48729,2.77534,0.0009605,0.0009605,0.0009605
107,743.571,1.84797,0.49133,2.37597,1.8201,0.01146,0.5,0.01609,0.00392,0.00569,0.27778,0.00507,0.00092,3.00055,0.76923,3.42229,2.71903,0.0009506,0.0009506,0.0009506
108,750.878,2.01675,0.50732,2.49117,1.91011,0.01146,0.5,0.01609,0.00392,0.00569,0.27778,0.00507,0.00092,3.00055,0.76923,3.42229,2.71903,0.0009407,0.0009407,0.0009407
109,757.917,1.85059,0.44452,2.22852,1.82891,0.01146,0.5,0.01609,0.00392,0.00569,0.27778,0.00507,0.00092,3.00055,0.76923,3.42229,2.71903,0.0009308,0.0009308,0.0009308
110,767.066,1.94824,0.45313,2.48614,1.8882,0.04138,0.02778,0.03741,0.00666,0.00527,0.25,0.00389,0.00101,2.95951,0.74408,3.46809,2.75497,0.0009209,0.0009209,0.0009209
111,774.404,1.80732,0.40724,2.37399,1.78876,0.04138,0.02778,0.03741,0.00666,0.00527,0.25,0.00389,0.00101,2.95951,0.74408,3.46809,2.75497,0.000911,0.000911,0.000911
112,782.247,1.79579,0.38118,2.2303,1.78853,0.04138,0.02778,0.03741,0.00666,0.00527,0.25,0.00389,0.00101,2.95951,0.74408,3.46809,2.75497,0.0009011,0.0009011,0.0009011
